Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
165	read_6fb4e70c-7cc0-4b99-9273-c4340cada15d	2048	48128	114.375	261
166	read_705e9ea6-ecbb-4080-949d-5c9fb990e4da	2048	48128	209.25	296.5
167	read_7153000c-2919-4b49-a323-dae3e0779bc7	2048	48128	126.438	238.75
168	read_719663f2-a560-4308-9049-d547f46be4a4	2048	48128	138.375	285.75
169	read_726f1fe2-72b7-405c-9dbf-67a3d890f925	2048	48128	159.875	286.25
170	read_7371a8f1-38d7-4c62-acc2-a9b3d2c2b9b1	2048	48128	268.25	135
171	read_74a779c8-51e9-448c-9abe-a7df80aa7ed1	2048	48128	284.25	176.875
172	read_74b4424d-7d26-4e4a-8a93-85b2a2457fb5	2048	48128	287	220.375
173	read_758a1016-b7cb-4ba2-b7c0-0b9c85163807	2048	48128	140.25	260.5
174	read_75a8a020-144c-46a0-9c42-f4971a45ab40	2048	48128	164.375	277
175	read_769aec3a-da8b-4d36-8989-663cd1d97177	2048	48128	273	178.5
176	read_76cce055-fa7f-4dcb-8bfb-37b3c091c43a	2048	48128	245	174.625
177	read_77708899-9997-40e9-8012-7e2dee4eb703	2048	48128	260.75	178.375
178	read_77f299e5-979f-485e-9342-30c36787fb2c	2048	48128	192.875	287.5
179	read_7905a4fe-8abf-4315-892a-875a4ff1fdc3	2048	48128	273.5	182.5
180	read_796cf809-baf5-4f53-b000-ba8e74417ff9	2048	48128	149.25	277.5
181	read_7992e013-2f65-4d58-9cbd-80331dee4c70	2048	48128	185.75	269.75
182	read_7b678916-bed3-45b8-84ba-0eb81679e14f	2048	48128	282.25	188.5
183	read_7babf84d-5afb-4545-9d7d-50f711fe4ac2	2048	48128	160	291.25
184	read_7bb77941-569b-4573-87e3-d345ed083947	2048	48128	273.5	92.6875
185	read_7c442488-7604-49de-99bd-35996cb021ee	2048	48128	251	135.5
186	read_7cf884ef-8cd4-47ad-8708-8fea1575cb65	2048	48128	131.5	268.75
187	read_7dc532ed-c0aa-460b-80b2-97459d06d23d	2048	48128	131.875	303.75
188	read_7de69fc8-a002-40e8-b15a-4baf57fc7484	2048	48128	265.5	286.75
189	read_7e551042-5760-4809-b3a4-239e305021c7	2048	48128	145.375	287.25
190	read_7eb5b628-f6d5-44e8-9691-80bc3ef8bf8b	2048	48128	149.25	279.25
191	read_80d7aeff-9f12-41f4-9832-398a1bcbcfe6	2048	48128	270.5	150.25
