Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
122	read_11f03c95-fe37-41a0-8c85-6fdad6b52e69	2048	48128	215.875	238.25
123	read_120681ef-3c3c-4269-9702-e85c7ecd8a4a	2048	48128	273.75	276.25
124	read_121653ee-41aa-4d27-b6b3-46e7dfdd3fbf	2048	48128	288	283.75
125	read_121b312f-8cd1-44c6-9ad5-eb7cc5ed9e55	2048	48128	279.75	288.75
126	read_123ee3a5-b09e-47df-a14f-71741995258a	2048	48128	268.75	274.5
127	read_125e907d-b07a-4d3c-9ea7-5b05018bcade	2048	48128	307.25	291.75
128	read_1288921b-1c43-49cf-a323-28e7b5a8c11a	2048	48128	296.5	298
129	read_128cf9db-fa26-43dc-9c29-f9135d4e5fea	2048	48128	222.75	222.125
130	read_1290a59f-70c5-4b82-8999-f502454e1bca	2048	48128	258.75	253.125
131	read_1299ebb0-4f62-4112-a3cb-c7593526fd15	2048	48128	266.5	270.25
132	read_129cdbe9-7772-4d42-a0c3-e784f4daaac5	2048	48128	257.75	264.5
133	read_12d225ae-6ef8-4b50-80a8-2ccd555024ef	2048	48128	263	263.25
134	read_12d369bc-ff08-450b-82ea-20a109e36ce1	2048	48128	279.25	271.25
135	read_1300e8e0-3356-42d8-a4e8-5a69ebf37931	2048	48128	290	296.5
136	read_130bb285-c404-48bb-a07f-a0335518c5a8	2048	48128	272.5	270.75
137	read_13234071-a30f-4610-aea9-8f87a01bd4b7	2048	48128	281	286.75
138	read_1325c58c-f73f-4065-91b7-41957c06dc08	2048	48128	238.5	249.75
139	read_133b894b-df5d-450b-8052-5d4c1cdf5061	2048	48128	274.25	282.25
140	read_134243d9-9ad2-4947-a54c-3b84237b21b9	2048	48128	281.5	280.5
141	read_1345259e-0a94-4f04-8734-42ff839c2714	2048	48128	277.5	272.5
142	read_1365859a-6f1b-45fa-b052-5b1c32d2f04b	2048	48128	259.5	255.25
143	read_137c7662-0b97-4d4c-9707-8fca01bdd33f	2048	48128	284.75	268.25
144	read_139c5b1d-243a-42e7-bf83-45449b675a7c	2048	48128	304	324.75
145	read_13c69e55-531b-40b8-a7e9-4fbc967c70d9	2048	48128	244	247
146	read_13fd9de6-1218-435a-9ca3-10c8dd33c6b3	2048	48128	273	276.75
147	read_14301ef6-bcd5-47e6-b08c-22b8d20ac022	2048	48128	309.75	316
148	read_14335f79-4ac5-420b-98b7-47c700a367c6	2048	48128	269.75	272
149	read_1497a6f9-6008-4dda-9df5-8d408e38437a	2048	48128	250.875	262
150	read_14bbd305-436d-46c6-80e3-8b0b05f1694c	2048	48128	251.25	257
151	read_14ca11ea-1be3-457d-993b-51b9d4285654	2048	48128	280.25	297.25
152	read_14fc37bf-3ee1-426b-89ab-e33fb8671dbf	2048	48128	273.5	275.75
153	read_14ff4256-8dbc-4f25-9080-a03ea64764de	2048	48128	360.25	371.5
154	read_153a3f92-7b78-4d17-86a7-e0dfd4ba41ce	2048	48128	269	284.75
155	read_1542557e-fd6f-47d7-9df6-bcb98bc1ad6f	2048	48128	267.75	277.25
156	read_15489c40-8992-4db4-b8da-235340663e8a	2048	48128	331.25	330
157	read_159b67b0-02da-48ea-9d5e-7d7dd81aaabf	2048	48128	302	310.5
158	read_15a53609-3192-43bf-ba94-2e6ea1c94bd8	2048	48128	253.25	269
159	read_15bbbe30-3769-4ce7-abb0-d97c34f2d93b	2048	48128	293	292.5
160	read_15c2bdf5-19f2-403e-b524-6e362866f8ef	2048	48128	292	293.25
161	read_15d6ff5f-bbd1-4b29-a87d-b0cc8f043acf	2048	48128	270.25	281.5
162	read_16041375-5c1b-40c6-86ca-39652ca0476f	2048	48128	296.25	323
163	read_164ffb81-3b3e-43f6-9870-da9955fbbc2c	2048	48128	283.25	286
164	read_165fb0a6-f83d-4dc6-9b7f-9db545251fd6	2048	48128	266.5	280
165	read_16f08a18-2d4c-4f0f-b622-2d639a184ca3	2048	48128	257.5	277.25
166	read_1716666c-fb87-47d6-a6ff-0273274fe9c6	2048	48128	266.75	283.25
167	read_172c6979-61b1-4da9-bb8b-29d465b44b9f	2048	48128	315.5	331
168	read_1730b5e3-c8cb-4d56-a2d3-9708b0f490ab	2048	48128	309	319.75
169	read_17381f09-69d3-40f9-844c-e4a7570d7cf3	2048	48128	279.5	275.25
170	read_1777f2fd-23ac-4209-84cb-eb20af357246	2048	48128	124	124.812
171	read_17aea0cc-0955-4c1e-b541-24b8bea03c08	2048	48128	267.75	273.5
172	read_17c89211-07ab-4ae2-a6ba-d502ede323a7	2048	48128	303.25	298
173	read_17d91f7d-7594-4584-bb59-16e4b352542c	2048	48128	314.75	319
174	read_181d278b-a7ca-42b6-b3c0-38602a10c289	2048	48128	298	304.75
175	read_183dce40-ebd0-49ea-8f1a-c269200d3848	2048	48128	307.5	307.75
176	read_189455f6-b467-476f-b0f5-b37a5ae4e6ff	2048	48128	312	309.75
177	read_18a7b30d-f2b2-4711-8cb5-e8b30ff253dc	2048	48128	280.5	287.25
178	read_18c34b88-1c9c-4e37-b735-823b9c5f4ee7	2048	48128	248.25	250.375
179	read_18f76880-a3d4-46dc-b0aa-7a8c3d03345c	2048	48128	329.25	345.5
180	read_18fcc39d-8663-4846-bc8f-2a50a093264b	2048	48128	272.75	277.25
181	read_19585246-649e-47f3-8ad4-92bc970d312e	2048	48128	302.5	296.25
182	read_196d84ff-c84f-44d3-8e6d-adc8952a211f	2048	48128	280.5	277
183	read_199c7c62-e1bb-46e2-9fd4-0ed4f904d2bc	2048	48128	220.75	220
184	read_19b514be-49a5-4637-95ff-a12a9ba7baf5	2048	48128	364.75	369.25
185	read_1a03eee1-fc38-4243-ac00-d7dd2f0e7095	2048	48128	286.25	291.5
186	read_1a044bdc-cd4b-4b16-93ba-09b3387398ea	2048	48128	294	278
187	read_1a6e4ff7-d6dc-4f59-a556-bccd3e764926	2048	48128	300.25	306
188	read_1a768776-267f-4727-955d-ea2fd9852aea	2048	48128	269.75	259.75
189	read_1abf93f6-a664-45fd-b96c-100646c6b968	2048	48128	265.5	275.5
190	read_1ad3e758-7d47-40ad-856d-5bcabafa534a	2048	48128	278.75	295
191	read_1b11507f-f4bf-4bfa-a5a1-f236e1d4b31e	2048	48128	289.75	293.25
192	read_1b590ee3-ba67-4bd9-9530-c954b73c9e65	2048	48128	297	311.5
193	read_1b5f1a8b-bd37-47e8-856a-6dc265c33542	2048	48128	262	254.125
194	read_1b76f01a-be93-41ef-949b-8e3219aeace2	2048	48128	259.75	262
195	read_1b7ae0be-70cb-4a96-9087-bb807b9726fd	2048	48128	238.5	240.25
196	read_1bad7a8c-77a4-458e-9997-9bc6f00eb137	2048	48128	312.5	318.25
197	read_1bc0f208-b9d9-44f6-81f8-2611bb7f12e2	2048	48128	244	240.75
198	read_1bc53f56-d594-483b-90df-940be4bbba3d	2048	48128	277.75	282.5
199	read_1bcfe1ad-7c2e-47b9-bcfc-01935addd947	2048	48128	291.25	296.75
200	read_1bd2c93b-1177-4c1a-8cb6-1396e11e820f	2048	48128	248.25	245.5
201	read_1bdf4513-93ff-4982-8382-7826850c7b87	2048	48128	293.25	297
202	read_1c09d900-1f60-4b36-a112-e2abe8b479ad	2048	48128	274.75	278.75
203	read_1c1049c8-7f43-40ef-a858-f21bfc2a086f	2048	48128	287	289.75
204	read_1c37ba6e-3b37-457b-838e-a9343b2c6ac8	2048	48128	267.25	274.5
205	read_1c529d63-be4e-4de8-a66a-594da8747413	2048	48128	263.75	261.75
206	read_1c5c3321-f59a-4f4b-bcd4-876c9e3aebf2	2048	48128	316.5	315.5
207	read_1c74adc5-d0a0-45c0-8ecf-9dad82880a9b	2048	48128	259.25	268.25
208	read_1c91710d-30f9-4ff3-a91a-2f7c04d0ce45	2048	48128	263.5	273.5
209	read_1c929a83-0f44-497d-b839-92abeb6c3450	2048	48128	300	295
210	read_1ca7a529-b661-4a9e-92a2-864faf38ecc6	2048	48128	288	288
211	read_1cc84840-891f-417b-b01e-7ebce8b515c4	2048	48128	276.75	282.5
212	read_1ce74aa1-e242-48ee-9fb9-ffd6777d0ef7	2048	48128	240.75	238.75
213	read_1d28dc0d-5c82-4899-a01e-18e5ea0ad700	2048	48128	286.75	281.75
214	read_1d4fcb06-1989-4825-adb1-26efd8f32102	2048	48128	286.5	295.5
215	read_1d89ac78-3aa5-48f6-a6eb-fbd3fc9632d4	2048	48128	272.75	282
216	read_1da78fc4-174e-4741-9108-63179871d9e2	2048	48128	283.25	281.5
217	read_1db83829-ba1b-4f63-b6ce-2f70d8015573	2048	48128	368.5	381.75
218	read_1dbf1e40-f723-469a-b32b-eb8dbe44ad74	2048	48128	247.625	260.25
219	read_1de0a905-fdea-4fa9-be6b-0a980f8746d5	2048	48128	270	281.75
220	read_1de374ad-b46e-4aa6-bac6-da627643eee6	2048	48128	262	284
221	read_1e1d448d-7ee7-4a1a-a66e-49fe6024a00b	2048	48128	273	269.25
222	read_1e41c81a-49e4-4080-966b-5fd3ad46fdbd	2048	48128	310.25	314.5
